_ID, TimeSt,Country,Province,City,Latitude,Longitude,Associated POI,Distance POI
4927499,29:59.1,CA,AB,Edmonton,53.47823,-113.39124,POI1,0.11638106377327295
4927555,30:01.3,CA,SK,Saskatoon,52.1225,-106.72488,POI1,6.909122559066739
4927592,29:57.0,CA,SK,Saskatoon,52.10775,-106.69127,POI1,6.945054680359605
4927602,29:58.0,CA,AB,Calgary,51.0196,-114.20029,POI1,2.625667740332924
4927619,30:00.7,CA,AB,Edmonton,53.51507,-113.50584,POI1,0.03703072568827442
4927688,29:57.1,CA,QC,Saint-Neree,46.72072,-70.72588,POI3,3.0828942841130607
4927721,30:00.3,CA,AB,Edmonton,53.56766,-113.53611,POI1,0.054769429657428224
4927761,30:00.5,CA,ON,Thunder Bay,48.4117,-89.2451,POI3,15.943209670540524
4927827,30:03.8,CA,AB,Calgary,51.1414,-114.076,POI1,2.4761498894543923
4927886,30:01.3,CA,MB,Winnipeg,49.891,-97.1511,POI1,16.73859354043358
4927962,30:03.8,CA,ON,Richmond Hill,43.8428,-79.4239,POI3,6.093699864829007
4927973,30:05.2,CA,ON,Oshawa,43.93702,-78.8513,POI3,5.517710401883825
4928014,30:03.9,CA,AB,Calgary,51.1414,-114.076,POI1,2.4761498894543923
4928062,30:05.8,CA,QC,Laval,45.5209,-73.7762,POI3,0.21017726427233213
4928157,30:03.7,CA,AB,Airdrie,51.3082,-114.0398,POI1,2.3055336530714525
4928222,30:04.8,CA,ON,Ajax,43.8558,-79.0179,POI3,5.700696288754293
4928307,30:05.2,CA,AB,Edmonton,53.5185,-113.6579,POI1,0.17437486758418236
4928398,30:05.7,CA,ON,Ottawa,45.3804,-75.7468,POI3,2.1853442732478046
4928420,30:06.2,CA,AB,Edmonton,53.5134,-113.5061,POI1,0.03858043863151879
4928517,30:06.5,CA,ON,North York,43.7302,-79.4951,POI3,6.193800132052771
4928602,30:04.5,CA,ON,Aurora,44.0065,-79.4504,POI3,6.076306180239523
4928625,30:06.8,CA,QC,Gatineau,45.3944,-75.8363,POI3,2.27383823844551
4928714,30:07.0,CA,SK,Saskatoon,52.1225,-106.72488,POI1,6.909122559066739
4928737,30:07.0,CA,AB,Calgary,50.91167,-114.10311,POI1,2.705869096683169
4928792,30:07.2,CA,QC,Montréal,45.5335,-73.667,POI3,0.10167139822487226
4928872,30:05.5,CA,BC,Campbell River,50.00887,-125.26645,POI1,12.300314611377438
4928939,30:05.8,CA,ON,Burlington,43.3756,-79.8145,POI3,6.606730870212359
4929068,30:07.0,CA,ON,Toronto,43.6796,-79.4343,POI3,6.150588105947017
4929134,30:07.1,CA,ON,York,43.703,-79.512,POI3,6.217880831297509
4929227,30:07.9,CA,AB,Calgary,51.0524,-114.038,POI1,2.5541870693128557
4929243,30:06.8,CA,AB,Edmonton,53.52246,-113.48699,POI1,0.023740248208470233
4929328,30:07.5,CA,AB,Canmore,51.08565,-115.35705,POI1,3.09127279274169
4929402,30:08.3,CA,BC,Richmond,49.16543,-123.12647,POI1,10.589364819707793
4929411,30:09.6,CA,AB,Edmonton,53.5314,-113.582,POI1,0.09739202762546822
4929533,30:07.0,CA,ON,Mississauga,43.58956,-79.78478,POI3,6.511974877738471
4929699,30:07.1,CA,SK,Maryfield,49.8256,-101.534,POI1,12.517450395677416
4929788,30:07.2,CA,AB,Edmonton,53.51743,-113.63117,POI1,0.1482479182484565
4929835,30:07.0,CA,ON,Ottawa,45.4204,-75.6989,POI3,2.1352768770857287
4929907,30:07.0,CA,AB,Edmonton,53.5907,-113.467,POI1,0.048313050462581254
4929971,30:08.5,CA,ON,Richmond Hill,43.8939,-79.4375,POI3,6.0929247587687305
4930018,30:10.9,CA,AB,Edmonton,53.44218,-113.44523,POI1,0.11159690938820463
4930114,30:12.1,CA,AB,Edmonton,53.44218,-113.44523,POI1,0.11159690938820463
4930175,30:10.9,CA,BC,Port Coquitlam,49.22684,-122.79472,POI1,10.262251511297364
